Link Text,URL
Last Date,https://pec.ac.in/tenders?field_tenders_quotations_auction_value=&order=field_last_date&sort=asc
Archive of Previous Tenders,https://pec.ac.in/tenders/archive
Data Submitted for Participation in National Institutional Ranking Framework (NIRF), MHRD, Govt. of India, 2019,http://pec.ac.in/nirf-data-19
Data Submitted for Participation in National Institutional Ranking Framework (NIRF), MHRD, Govt. of India, 2018,http://pec.ac.in/nirf-data-18
Data Submitted for Participation in National Institutional Ranking Framework (NIRF), MHRD, Govt. of India, 2017,http://pec.ac.in/nirf-data-17
Data Submitted for Participation in National Institutional Ranking Framework (NIRF), MHRD, Govt. of India, 2016,http://pec.ac.in/nirf-data
RTI,https://pec.ac.in/rti
Invitation,https://pec.ac.in/tnp/invitation
Message from the Director,https://pec.ac.in/tnp/message-director
Message from the Head,https://pec.ac.in/tnp/message-tpo
Placement Procedure,https://pec.ac.in/tnp/placement-procedure
Placement Policy,https://pec.ac.in/tnp/policy
Placement Statistics,https://pec.ac.in/tnp/placement-information
Why Recruit @ PEC?,https://pec.ac.in/tnp/why-recruit-pec
Downloads,https://pec.ac.in/tnp/downloads
Facilities for Recruiters,https://pec.ac.in/tnp/facilities-recruiters
Past Recruiters,https://pec.ac.in/past-recruiters
How to Reach PEC,https://pec.ac.in/how-reach-pec
Testimonials from Companies,https://pec.ac.in/tnp/testimonials
Student Placement Committee,https://pec.ac.in/node/370
Important Links,https://pec.ac.in/tpo/important-links
FAQ's,https://pec.ac.in/tnp/frequently-asked-questions
Contact Us,https://pec.ac.in/tnp/contact-us
PEC Placements lead the way – break all records of last Years and bags highest salaries this Year!,http://pec.ac.in/events/pec-placements-lead-way-%E2%80%93-break-all-records-last-years-and-bags-highest-salaries-year
Open House - 2017 (Day-2),http://pec.ac.in/events/open-house-2017-day-2
Open House - 2017 (Day- 1),http://pec.ac.in/events/open-house-2017-day-1
Workshop on Entrepreneurship on 10th April'2017,http://pec.ac.in/workshop-entrepreneurship
Soft Skill Development Program - "College to Corporate" from 6th - 8th March'2017,http://pec.ac.in/soft-skill-development-program-college-corporate
TCS Best Student Award - 2017,http://pec.ac.in/events/tcs-award-best-student-2017
Career Development Workshop by Ciz Disha on 7th Feb '2017,http://pec.ac.in/career-guidance-workshop
SBI Bank conducted a workshop for the final year students for PO exam - Jan' 2017,http://pec.ac.in/abc
Seminar on Motivational Skills- 2017,http://pec.ac.in/seminar-motivational-skills
Seminar on Scholarship to study abroad - 24th October 2016,http://pec.ac.in/seminar-scholarship-24th-october2016
Seminar on “Options to study In USA" - 21st October' 2016,http://pec.ac.in/seminar-%E2%80%9Coptions-study-usa%E2%80%9D-21st-october2016
Seminar on Scholarship options to study at Abroad on 4th October''2016,http://pec.ac.in/seminar-scholarship-options-study-abroad-4th-october2016
GRE Workshop - 27th Sept'2016,http://pec.ac.in/workshop-gre-27th-september2016
Code Rush 3.0 Programming Challenge - 17th Sept'2016,http://pec.ac.in/code-rush-30-programming-challenge-17th-september%E2%80%992016
6th International Yoga Day,https://pec.ac.in/events/6th-international-yoga-day
A Case Study on Mitigating Traffic Congestion of Chandigarh - Nayagaon Stretch,https://pec.ac.in/events/case-study-mitigating-traffic-congestion-chandigarh-nayagaon-stretch
PEC Student Bagged ASCE Student Leadership Award,https://pec.ac.in/events/pec-student-bagged-asce-student-leadership-award
Swayam Sevika – Contactless Food & Medicine Delivery Bot,https://pec.ac.in/events/swayam-sevika-%E2%80%93-contactless-food-medicine-delivery-bot
PEC Stands up for the Cause of Blood Donation,https://pec.ac.in/events/pec-stands-cause-blood-donation
AICTE-ATAL Sponsored FDPs,https://pec.ac.in/events/aicte-atal-sponsored-fdps
TEQIP-III sponsored National Seminar on Recent Advances in Mathematical Modeling and their Applications in Engineering and Sciences,https://pec.ac.in/events/teqip-iii-sponsored-national-seminar-recent-advances-mathematical-modeling-and-their
Expert lecture on Social Entrepreneurship,https://pec.ac.in/events/expert-lecture-social-entrepreneurship
Expert lecture on IOT and Blockchain,https://pec.ac.in/events/expert-lecture-iot-and-blockchain
2,https://pec.ac.in/all_events?page=1
3,https://pec.ac.in/all_events?page=2
4,https://pec.ac.in/all_events?page=3
5,https://pec.ac.in/all_events?page=4
6,https://pec.ac.in/all_events?page=5
7,https://pec.ac.in/all_events?page=6
8,https://pec.ac.in/all_events?page=7
9,https://pec.ac.in/all_events?page=8
Mandatory Disclosure,http://pec.ac.in/rules-guidelines-forms/proforma-mandatory-disclosure
Engagement of Classes and Attendance,https://pec.ac.in/rules-guidelines-forms/engagement-classes
Special Casual Leave/ Project Leave / Special Leave,https://pec.ac.in/rules-guidelines-forms/guidelines-special-leave
Archive,https://pec.ac.in/rules-guidelines-forms/archive
Administrative Duties,http://pec.ac.in/institute-functionaries
Building & Works Committee,http://pec.ac.in/building-works-committee
Finance Committee,http://pec.ac.in/finance-committee
Minutes of BOG Meetings,https://pec.ac.in/board-of-governors/minutes-bog-meetings
Sh. Rajinder Gupta, Chairman, Trident Industries, E-212, Kitchlu Nagar, Ludhiana, Punjab.,http://www.pec.ac.in/chairman-bog
Minutes of Senate Meetings,https://pec.ac.in/minutes-senate-meetings
Minutes of Building & Works Committee Meetings,http://pec.ac.in/minutes-building-works-committee-meetings
Minutes of Finance Committee Meetings,https://pec.ac.in/minutes-finance-committee-meetings
Minutes of Meetings of the Board of Governors,http://pec.ac.in/board-of-governors/minutes-bog-meetings
Minutes of Meetings of the Finance Committee,http://pec.ac.in/minutes-finance-committee-meetings
Academic Support for Students,http://pec.ac.in/programmes/student-support
B.Tech. Students,http://pec.ac.in/programmes/student-support/ug
M.Tech. Students,http://pec.ac.in/programmes/student-support/pg
Ph.D Students,http://pec.ac.in/programmes/student-support/phd
Scholarship Office Orders & Sanction Orders,https://pec.ac.in/programmes/student-support/scholarship-office-orders-sanction-orders
Rules & Procedures,https://pec.ac.in/programmes/rules-procedures
Functionaries & Dealing Clerks,https://pec.ac.in/programmes/functionaries-dealing-clerks
List of Visiting Professor / Emeritus Professor,https://pec.ac.in/departments/visiting-emeritus-professors
Aerospace Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/aero-14-18
Aerospace Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/aero-15-19
Aerospace Engineering,https://pec.ac.in/programmes/ug/structure/aero-syllabus
Civil Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/civil-14-18
Civil Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/civil-15-19
Civil Engineering,https://pec.ac.in/programmes/ug/structure/civil-syllabus
Computer Science & Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/cse-14-18
Computer Science & Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/cse-15-19
Computer Science & Engineering,https://pec.ac.in/programmes/ug/structure/cse-syllabus
Electrical Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/electrical-14-18
Electrical Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/electrical-15-19
Electrical Engineering,https://pec.ac.in/programmes/ug/structure/electrical-syllabus
Electronics Communication Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/ece-14-18
Electronics Communication Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/ece-15-19
Electronics & Communication Engineering,https://pec.ac.in/programmes/ug/structure/ece-syllabus
Mechanical Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/mech-14-18
Mechanical Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/mech-15-19
Mechanical Engineering,https://pec.ac.in/programmes/ug/structure/mech-syllabus
Materials & Metallurgical Engineering (BATCH 2014-18),https://pec.ac.in/programmes/ug/structure/meta-14-18
Materials & Metallurgical Engineering (BATCH 2015-19),https://pec.ac.in/programmes/ug/structure/meta-15-19
Materials & Metallurgical Engineering,https://pec.ac.in/programmes/ug/structure/meta-syllabus
Production & Industrial Engineering (2014-18),https://pec.ac.in/programmes/ug/structure/prod-14-18
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/civil-transport
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/civil-transport-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/civil-wr
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/civil-wr-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/civil-structure
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/civil-structure-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/cse
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/cse-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/cse-is
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/cse-is-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/electrical
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/electrical-syllabus
Click Here for Programmes Structure (2016-18),http://pec.ac.in/programmes/pg/structure/mech
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/mech-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/electronics
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/electronics-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/electronics-vlsi
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/electronics-vlsi-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/metallurgy
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/metallurgy-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/production
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/production-syllabus
Click Here for Programmes Structure (2016-18),https://pec.ac.in/programmes/pg/structure/industrial-design
Click Here for Syllabus (2016-18),https://pec.ac.in/programmes/pg/structure/industrial-design-syllabus
Click Here for Programmes Structure (2016-18),http://pec.ac.in/programmes/pg/structure/tqm
Total Quality Management on self supporting basis,http://pec.ac.in/programmes/pg/structure/tqm-syllabus
PhD Performas,https://pec.ac.in/programmes/phd/performas
Ph.D. Scholars Enrolled,https://pec.ac.in/programmes/phd/ugc-phd-data
Declaration of Punjab Engineering College as Deemed to be University by MHRD, GoI,http://pec.ac.in/mhrd-notification-deemed-university
Minutes of Meetings,https://pec.ac.in/iqac/minutes-of-meetings
Coordinator,https://pec.ac.in/iqac/coordinator
B.Tech. Admissions,https://pec.ac.in/admissions/btech
M.Tech. Admissions,https://pec.ac.in/admissions/mtech
Ph.D Admissions,https://pec.ac.in/admissions/phd
B.Tech. Admissions,http://pec.ac.in/admissions/btech
M.Tech. Admissions,http://pec.ac.in/admissions/mtech
PhD Admissions,http://pec.ac.in/admissions/phd
Aerospace Engineering,https://pec.ac.in/aero
Applied Sciences,https://pec.ac.in/applied-sciences
Civil Engineering,https://pec.ac.in/civil
Computer Science & Engineering,https://pec.ac.in/cse
Electrical Engineering,https://pec.ac.in/ee
Electronics and Communication Engineering,https://pec.ac.in/ece
Mechanical Engineering,https://pec.ac.in/me
Metallurgical & Materials Engineering,https://pec.ac.in/metta
Production and Industrial Engineering,https://pec.ac.in/pie
Centre of Excellence in Industrial and Product Design,https://pec.ac.in/coe
Centre of Management and Humanities (CMH),https://pec.ac.in/cmh
Centre for Total Quality Management and ZED,https://pec.ac.in/tqm-zed
Cyber Security Research Centre,https://pec.ac.in/cyber-security-research-centre
Kalpana Chawla Chair of Geospatial Technology (KCC GT),https://pec.ac.in/institute/kalpana-chawla-chair
Advance Manufacturing Lab,https://pec.ac.in/research/advance-manufacturing-lab
As Per UGC thrust areas,https://pec.ac.in/research-groups-ugc-thrust-areas
As Per Faculty Interests,https://pec.ac.in/research-groups-recent-interests-faculty
Research Groups as per Thrust Areas of departments communicated to UGC,http://pec.ac.in/research-groups-ugc-thrust-areas
Research Groups as per recent interests of Faculty,http://pec.ac.in/research-groups-recent-interests-faculty
List of Consultancy Projects,https://pec.ac.in/list-consultancy-projects
Eligibility Criteria,https://pec.ac.in/yrf/eligibility-criteria
Benefits & Awards,https://pec.ac.in/yrf/benefits-awards
Selection Process,https://pec.ac.in/yrf/selection-process
Review Process,https://pec.ac.in/yrf/review-process
Apply for YRF,https://pec.ac.in/yrf/apply
Ongoing Projects,https://pec.ac.in/ongoing-projects
Information on Mentors & Guides,https://pec.ac.in/yrf/information-mentors-guides
Information on YRFs,https://pec.ac.in/yrf/information
In-house Projects,https://pec.ac.in/node/297
Consultancy & Testing Projects,https://pec.ac.in/node/298
Technical Societies,https://pec.ac.in/students/technical-societies
Cultural Clubs,https://pec.ac.in/cultural-clubs
Our Recent Events,https://pec.ac.in/clubs/recent-events
Our Recent Achievements,https://pec.ac.in/clubs/recent-achievements
Forms,https://pec.ac.in/forms
NSS,https://pec.ac.in/nss
NCC,https://pec.ac.in/ncc
Financial Assistance,https://pec.ac.in/current-students/financial-assistance
Contact Us,https://pec.ac.in/current-students/contact-us
Equivalent Ranks,https://pec.ac.in/ncc/equivalent-ranks
Read More,https://pec.ac.in/sports
Read More,http://pec.ac.in/medical-facilities
Read More,http://pec.ac.in/workshops
All Top Stories,http://pec.ac.in/top-stories
Click Here for Nomination Form,https://pec.ac.in/donations/nomination-form-distinguished-alumnus-award
Make Donation,https://pec.ac.in/donations/make-payment
Dr. Sanjeev Kumar, Applied Science Department,https://pec.ac.in/sanjeev-kumar
Key Activities,https://pec.ac.in/coe/key-activities
Facilities,https://pec.ac.in/coe/facilities
Ongoing Projects,https://pec.ac.in/coe/ongoing-projects
Happenings,https://pec.ac.in/coe/happenings
Contact Us,https://pec.ac.in/coe/contact-us
Facilities,https://pec.ac.in/library/facilities
Sections,https://pec.ac.in/library/sections
Membership Facilities,https://pec.ac.in/library/membership-facilities
Library Automation,https://pec.ac.in/library/automation
Multimedia Resource Centre,https://pec.ac.in/library/multimedia-resource-centre
Resources,https://pec.ac.in/library/e-resources
Team,https://pec.ac.in/library/team
Internal Services,https://pec.ac.in/library/internal-services
Computer Centre: At a Glance,https://pec.ac.in/cc/computer-centre-glance
Campus Network,https://pec.ac.in/cc/campus-network
Data Centre,https://pec.ac.in/cc/data-centre
Centralized Softwares,https://pec.ac.in/cc/centralized-softwares
Open Source Software,https://pec.ac.in/cc/open-source-softwares
In-House Web-Application Development,https://pec.ac.in/cc/in-house-development
Services,https://pec.ac.in/services-provided-computer-center
Faculty,https://pec.ac.in/cc/faculty
Network Usage Policy,https://pec.ac.in/cc/network-usage-policy
Training/Workshops Organized,https://pec.ac.in/cc/department-news
Web Help,https://pec.ac.in/web-help
Webmaster,https://pec.ac.in/webmaster
Location,https://pec.ac.in/cc/locate-centre
Sports Facilities,https://pec.ac.in/sports-facilities
Fitness Centre,https://pec.ac.in/fitness-centre
Honours & Awards,https://pec.ac.in/honours-awards
Forms,https://pec.ac.in/sports/forms
PECPOST , January 2017,https://pec.ac.in/multimedia/pecpost/jan/17
PECPOST, September 2016,http://pec.ac.in/multimedia/pecpost/sep/16
PECPOST , August 2015,https://pec.ac.in/multimedia/pecpost/aug/15
PECPOST , September 2015,https://pec.ac.in/multimedia/pecpost/sep/15
PECPOST , November 2015,https://pec.ac.in/multimedia/pecpost/nov/15
Request new password,https://pec.ac.in/web_editor/password
Anti-Ragging Committee,https://pec.ac.in/anti-ragging/committee
Contacts,https://pec.ac.in/anti-ragging/contacts
,https://pec.ac.in/events/role-geospatial-technology-smart-city-initiatives-goi
,https://pec.ac.in/events/first-regional-mentoring-session-pocs
,https://pec.ac.in/events/pec-students-display-innovative-projects-open-house-2019
2,https://pec.ac.in/top-stories?page=1
3,https://pec.ac.in/top-stories?page=2
4,https://pec.ac.in/top-stories?page=3
5,https://pec.ac.in/top-stories?page=4
6,https://pec.ac.in/top-stories?page=5
Improvement in Teaching, Training and Learning Facilities,http://pec.ac.in/teqip-third-phase/improvement-teaching-facilities
Improve Student Learning,http://pec.ac.in/teqip-third-phase/improve-student-learning
Student Employability,http://pec.ac.in/teqip-third-phase/student-employability
Increasing Faculty Productivity & Motivation,http://pec.ac.in/teqip-third-phase/increasing-faculty-productivity-motivation
Key Activities,http://pec.ac.in/teqip-third-phase/key-activities
Dileverables for Institutions,http://pec.ac.in/teqip-third-phase/dileverables-institutions
Download Forms,http://pec.ac.in/teqip-third-phase/download-forms
Happenings,https://pec.ac.in/teqip-third-phase/happenings
Media Coverage,http://pec.ac.in/teqip-third-phase/media-coverage
Team,http://pec.ac.in/teqip-third-phase/team
Archive,http://pec.ac.in/teqip
Click Here to View Details,https://pec.ac.in/jobs/job-estate-31-8-20
Click Here to View Details,https://pec.ac.in/jobs/job-18-8-20
Click Here to View Details,https://pec.ac.in/jobs/job-estate-works-28-01-2020
Click Here to View Details,https://pec.ac.in/jobs/job-20-1-2020
Click Here to View Details,https://pec.ac.in/jobs/job-31-12-19
Click Here to View Details,https://pec.ac.in/jobs/job-26-12-19
Click Here to View Details,https://pec.ac.in/jobs/job-27-11-19
Click Here to View Details,https://pec.ac.in/jobs/jobdean-alumni-office25-11-19
Click Here to View Details,https://pec.ac.in/jobs/jobresearch-projectdstfocused-web-crawling
Click Here to View Details,https://pec.ac.in/jobs/joblibraryapprenticeship-training
2,https://pec.ac.in/jobs/archive?page=1
3,https://pec.ac.in/jobs/archive?page=2
4,https://pec.ac.in/jobs/archive?page=3
5,https://pec.ac.in/jobs/archive?page=4
6,https://pec.ac.in/jobs/archive?page=5
7,https://pec.ac.in/jobs/archive?page=6
8,https://pec.ac.in/jobs/archive?page=7
9,https://pec.ac.in/jobs/archive?page=8
Last Date,https://pec.ac.in/tenders?field_tenders_quotations_auction_value=&order=field_last_date&sort=desc
Last Date,https://pec.ac.in/tenders/archive?field_tenders_quotations_auction_value=&order=field_last_date&sort=asc
2,https://pec.ac.in/tenders/archive?page=1
3,https://pec.ac.in/tenders/archive?page=2
4,https://pec.ac.in/tenders/archive?page=3
5,https://pec.ac.in/tenders/archive?page=4
6,https://pec.ac.in/tenders/archive?page=5
7,https://pec.ac.in/tenders/archive?page=6
8,https://pec.ac.in/tenders/archive?page=7
9,https://pec.ac.in/tenders/archive?page=8
Data Submitted for Participation in National Institutional Ranking Framework (NIRF), MHRD, Govt. of India, September, 2017,http://pec.ac.in/nirf-data-16
Placement Policy for Company,http://www.pec.ac.in/placement-policy-company
Deferred Placement Policy for Students,http://www.pec.ac.in/deferred-policy-2017-18
Highlights of AY 2018-19,http://pec.ac.in/tnp/placement-highlights-2019
Academic Excellence,https://pec.ac.in/tnp/academic-excellence
Faculty,https://pec.ac.in/tnp/faculty
Research & Consultancy,https://pec.ac.in/tnp/sponsored-research-and-consultancy
Industry Experience,https://pec.ac.in/tnp/industry-experience
Alumni Network,https://pec.ac.in/tnp/alumni-network
Student Activities,https://pec.ac.in/tnp/student-activities
Expert talk on Heptagon of Exponential Growth,https://pec.ac.in/events/expert-talk-heptagon-exponential-growth
Interactive Session on Personality Development and Corporate Entry,https://pec.ac.in/events/interactive-session-personality-development-and-corporate-entry
Innovation Workshop Organized at PEC For School Children,https://pec.ac.in/events/innovation-workshop-organized-pec-school-children
‘Tinanjali’’ Screened at Elante,https://pec.ac.in/events/%E2%80%98tinanjali%E2%80%99%E2%80%99-screened-elante
Valentine's Day celebrated by Rotaract Club at Punjab Engineering College,https://pec.ac.in/events/valentines-day-celebrated-rotaract-club-punjab-engineering-college
TEQIP Sponsored Two Days Course in GIS and ENVI Tools,https://pec.ac.in/events/teqip-sponsored-two-days-course-gis-and-envi-tools
ASCE PEC celebrated its Foundation Day,https://pec.ac.in/events/asce-pec-celebrated-its-foundation-day
7th edition of PECMUN,https://pec.ac.in/events/7th-edition-pecmun
Republic Day Celebrated,https://pec.ac.in/events/republic-day-2020-celebrated
Short Term Course on Design and Analysis of Experiments,https://pec.ac.in/events/short-term-course-design-and-analysis-experiments-0
Interactive Session by Vishal Sharma, 2006 Alumni,https://pec.ac.in/events/interactive-session-vishal-sharma-2006-alumni
PEC grieves demise of its illustrious alumnus Padma Shri Chandra Mohan,https://pec.ac.in/events/pec-grieves-demise-its-illustrious-alumnus-padma-shri-chandra-mohan
Completion of Academic Readiness Boot-camp held at PEC,https://pec.ac.in/events/completion-academic-readiness-boot-camp-held-pec
PEC Distinguished Alumnus Awards for the Year 2019 Announced,https://pec.ac.in/events/distinguished-alumnus-awards-2019-announced
Expert Talk on Innovation, Incubation and Entrepreneurship,https://pec.ac.in/events/expert-talk-innovation-incubation-and-entrepreneurship
IEEE PEC holds R10 Asia-Pacific Technovation,https://pec.ac.in/events/ieee-pec-holds-r10-asia-pacific-technovation
Local Hack Day held at PEC,https://pec.ac.in/events/local-hack-day-held-pec
National Seminar on Semiconductor Technology for Space and Defense Applications,https://pec.ac.in/events/national-seminar-semiconductor-technology-space-and-defense-applications
Innovation Day,https://pec.ac.in/events/innovation-day
49th Annual Convocation,https://pec.ac.in/events/49th-annual-convocation-pec
ASME Student Chapter of PEC Hosted the 7th Edition of EFx,https://pec.ac.in/events/asme-student-chapter-pec-hosted-7th-edition-efx
Student Solar Ambassador Workshop,https://pec.ac.in/events/student-solar-ambassador-workshop-0
ASCE and NSS PEC Organised Traffic Awareness Drive,https://pec.ac.in/events/asce-and-nss-pec-organised-traffic-awareness-drive
Expert Lecture by Sh. Rahul Jain, Managing Director, Matrix Geo Solutions Pvt Ltd, New Delhi,https://pec.ac.in/events/expert-lecture-sh-rahul-jain-managing-director-matrix-geo-solutions-pvt-ltd-new-delhi
National Sports Day 2019,https://pec.ac.in/events/national-sports-day-2019
3 Day Workshop on CNC Machining and Advanced Programming,https://pec.ac.in/events/3-day-workshop-cnc-machining-and-advanced-programming
Expert Lecture on IoT and Telemedicine by Dr. Sanjay Sood, Associate Director, C-DAC, Mohali,https://pec.ac.in/events/expert-lecture-iot-and-telemedicine-dr-sanjay-sood-associate-director-c-dac-mohali
Expert Lecture on Introduction to Fog Computing by Dr. Nitin Auluck,https://pec.ac.in/events/expert-lecture-introduction-fog-computing-dr-nitin-auluck
